1,5,subjects,6,2,3,4
102.0,146.0,subjects_011,,,,
116.0,142.0,subjects_012,2.0,,,
116.0,90.0,subjects_015,,,,
78.0,114.0,subjects_016,28.0,12.0,12.0,28.0
56.0,70.0,subjects_018,,,,
28.0,66.0,subjects_020,,,,
98.0,130.0,subjects_021,2.0,6.0,4.0,2.0
48.0,80.0,subjects_022,2.0,,,
72.0,158.0,subjects_023,2.0,,,
70.0,126.0,subjects_026,,,6.0,
144.0,172.0,subjects_028,,,,
122.0,104.0,subjects_029,,,,
96.0,158.0,subjects_030,,,,
48.0,116.0,subjects_031,4.0,,,
132.0,196.0,subjects_032,6.0,4.0,6.0,
62.0,68.0,subjects_034,2.0,,2.0,
28.0,114.0,subjects_036,,,16.0,
120.0,140.0,subjects_037,,,,
60.0,114.0,subjects_038,,,,
86.0,100.0,subjects_039,,,4.0,
52.0,80.0,subjects_041,,,,
94.0,84.0,subjects_043,,,,
84.0,166.0,subjects_044,14.0,,2.0,
94.0,188.0,subjects_048,2.0,8.0,16.0,8.0
154.0,140.0,subjects_050,,,4.0,
60.0,134.0,subjects_057,,,2.0,
62.0,100.0,subjects_059,,,,
72.0,152.0,subjects_063,,,2.0,
56.0,150.0,subjects_066,,,,
48.0,122.0,subjects_067,,,,
160.0,168.0,subjects_069,,,,
102.0,152.0,subjects_070,,,,
130.0,118.0,subjects_082,,,,
112.0,142.0,subjects_083,,,12.0,
102.0,154.0,subjects_085,,,,
90.0,122.0,subjects_100,,,4.0,
8.0,66.0,subjects_105,,,10.0,
98.0,96.0,subjects_109,,,12.0,
76.0,108.0,subjects_113,,,,
50.0,98.0,subjects_118,,,,
48.0,140.0,subjects_119,,,,
62.0,104.0,subjects_121,8.0,,,
66.0,166.0,subjects_126,,,,
64.0,94.0,subjects_132,,,,
32.0,92.0,subjects_133,2.0,4.0,16.0,
48.0,90.0,subjects_148,2.0,,2.0,
118.0,144.0,subjects_149,,,,
116.0,158.0,subjects_152,,,,
76.0,138.0,subjects_161,,,8.0,
56.0,146.0,subjects_166,10.0,,22.0,
118.0,160.0,subjects_169,4.0,,10.0,2.0
78.0,120.0,subjects_170,,,,
142.0,184.0,subjects_178,,,,
48.0,94.0,subjects_180,,,,
30.0,94.0,subjects_181,4.0,,,
64.0,86.0,subjects_186,,,,
58.0,98.0,subjects_191,,,2.0,
82.0,110.0,subjects_199,,,,
66.0,208.0,subjects_203,12.0,2.0,22.0,12.0
88.0,142.0,subjects_204,2.0,,4.0,
58.0,114.0,subjects_209,,,,
102.0,168.0,subjects_210,14.0,,4.0,
84.0,114.0,subjects_211,,,,
90.0,136.0,subjects_214,,,,
16.0,112.0,subjects_215,2.0,,4.0,
26.0,60.0,subjects_217,6.0,,,
84.0,206.0,subjects_219,,,12.0,
44.0,88.0,subjects_225,2.0,2.0,4.0,
58.0,90.0,subjects_226,,,,
148.0,160.0,subjects_227,,,,
52.0,110.0,subjects_236,6.0,6.0,,
106.0,130.0,subjects_238,,,,
76.0,92.0,subjects_239,,,,
90.0,180.0,subjects_240,8.0,,2.0,
84.0,94.0,subjects_244,,,,
56.0,150.0,subjects_250,,,,
46.0,102.0,subjects_251,,,,
38.0,100.0,subjects_254,,,,
74.0,138.0,subjects_256,4.0,,,
74.0,126.0,subjects_258,4.0,,,
66.0,110.0,subjects_262,,,,
126.0,120.0,subjects_263,,,6.0,
32.0,98.0,subjects_267,,,10.0,
84.0,120.0,subjects_272,12.0,4.0,2.0,
88.0,116.0,subjects_273,,,2.0,
116.0,144.0,subjects_277,,,,
106.0,170.0,subjects_282,2.0,,4.0,
74.0,146.0,subjects_283,2.0,,4.0,
80.0,156.0,subjects_284,,,,
54.0,110.0,subjects_285,2.0,,4.0,
102.0,136.0,subjects_286,2.0,2.0,,
42.0,102.0,subjects_292,,,,
4.0,58.0,subjects_293,,,6.0,
122.0,128.0,subjects_294,,,,
74.0,158.0,subjects_297,4.0,,2.0,
44.0,92.0,subjects_299,,,4.0,
58.0,106.0,subjects_304,4.0,,,
72.0,80.0,subjects_306,4.0,,,
56.0,108.0,subjects_307,4.0,,4.0,
90.0,148.0,subjects_309,,,2.0,
