subjectCode,Unknown category,Yes Compliance,Autonomy Support,Affect,Affection,Compliance,Construction,Hostility,Independent clean up,Inadequate boundaries setting,Concern,Control,Feedback,Alertness
subjects_011,0,0,0.027272727,0.018181818,0,0.009090909,0.7,0,0.009090909,0,0.027272727,0.027272727,0.181818182,0
subjects_012,0,0,0.074074074,0.018518519,0.009259259,0.009259259,0.611111111,0,0.009259259,0,0.018518519,0.074074074,0.175925926,0
subjects_015,0.011235955,0,0.08988764,0.02247191,0,0.011235955,0.516853933,0,0.011235955,0,0,0.101123596,0.235955056,0
subjects_016,0,0,0.157407407,0.018518519,0.064814815,0.009259259,0.574074074,0.009259259,0.009259259,0,0,0.037037037,0.12037037,0
subjects_018,0,0,0.104166667,0.041666667,0.125,0.020833333,0.4375,0,0.020833333,0,0,0.125,0.125,0
subjects_020,0,0,0.133333333,0.066666667,0.033333333,0.033333333,0.666666667,0,0.033333333,0,0,0.033333333,0,0
subjects_021,0,0,0.107526882,0.021505376,0.010752688,0.010752688,0.537634409,0.032258065,0.010752688,0,0.032258065,0.107526882,0.129032258,0
subjects_022,0,0,0.136363636,0.045454545,0.159090909,0.022727273,0.477272727,0,0.022727273,0,0,0.090909091,0.045454545,0
subjects_023,0,0,0.328125,0.03125,0.03125,0.015625,0.515625,0,0.015625,0,0,0.0625,0,0
subjects_026,0,0,0.068493151,0.02739726,0.123287671,0.01369863,0.534246575,0,0.01369863,0,0,0.164383562,0.054794521,0
subjects_028,0.008064516,0,0.056451613,0.016129032,0.072580645,0.008064516,0.419354839,0.016129032,0.008064516,0.225806452,0.064516129,0.016129032,0.080645161,0.008064516
subjects_029,0,0,0.093023256,0.023255814,0.023255814,0.011627907,0.569767442,0,0.011627907,0.011627907,0,0.034883721,0.209302326,0.011627907
subjects_030,0,0,0.098901099,0.021978022,0.010989011,0.010989011,0.67032967,0,0.010989011,0.032967033,0.032967033,0.032967033,0.065934066,0.010989011
subjects_031,0,0,0.051724138,0.034482759,0.051724138,0.017241379,0.551724138,0,0.017241379,0.017241379,0.017241379,0.120689655,0.103448276,0.017241379
subjects_032,0,0,0.057377049,0.016393443,0.081967213,0.008196721,0.56557377,0.024590164,0.008196721,0.024590164,0,0.131147541,0.073770492,0.008196721
subjects_034,0,0,0.040816327,0.040816327,0.020408163,0.020408163,0.612244898,0,0.020408163,0.020408163,0.040816327,0.020408163,0.142857143,0.020408163
subjects_036,0,0,0,0.04,0.04,0.02,0.46,0,0.02,0.14,0.08,0.16,0.02,0.02
subjects_037,0,0,0.168316832,0.01980198,0.099009901,0.00990099,0.465346535,0,0.00990099,0.00990099,0,0.02970297,0.178217822,0.00990099
subjects_038,0,0,0.096774194,0.032258065,0.016129032,0.016129032,0.580645161,0,0.016129032,0.016129032,0,0.129032258,0.080645161,0.016129032
subjects_039,0,0,0.173333333,0.026666667,0.013333333,0.013333333,0.6,0.013333333,0.013333333,0.04,0.026666667,0,0.066666667,0.013333333
subjects_041,0,0,0.078431373,0.039215686,0.019607843,0.019607843,0.607843137,0,0.019607843,0.019607843,0,0.019607843,0.156862745,0.019607843
subjects_043,0,0,0.25,0.029411765,0,0.014705882,0.470588235,0,0.014705882,0.014705882,0.029411765,0,0.161764706,0.014705882
subjects_044,0,0,0.122222222,0.022222222,0.044444444,0.011111111,0.611111111,0,0.011111111,0.011111111,0.022222222,0.077777778,0.055555556,0.011111111
subjects_048,0,0,0.117117117,0.018018018,0.018018018,0.009009009,0.558558559,0.009009009,0.009009009,0.117117117,0,0.081081081,0.054054054,0.009009009
subjects_050,0,0,0.060344828,0.017241379,0.051724138,0.00862069,0.586206897,0,0.00862069,0.025862069,0.00862069,0.025862069,0.198275862,0.00862069
subjects_057,0,0,0.029850746,0.029850746,0.059701493,0.014925373,0.567164179,0,0.014925373,0.074626866,0,0.134328358,0.059701493,0.014925373
subjects_059,0,0,0.145454545,0.036363636,0.127272727,0.018181818,0.254545455,0.018181818,0.018181818,0.236363636,0,0.127272727,0,0.018181818
subjects_063,0,0,0.1,0.028571429,0.157142857,0.014285714,0.342857143,0,0.014285714,0.214285714,0,0.114285714,0,0.014285714
subjects_066,0,0,0.060606061,0.03030303,0.015151515,0.015151515,0.606060606,0,0.015151515,0.045454545,0.03030303,0.075757576,0.090909091,0.015151515
subjects_067,0,0,0.079365079,0.031746032,0.031746032,0.015873016,0.571428571,0,0.015873016,0.047619048,0,0.095238095,0.095238095,0.015873016
subjects_069,0,0,0.124031008,0.015503876,0.069767442,0.007751938,0.604651163,0,0.007751938,0.007751938,0,0,0.15503876,0.007751938
subjects_070,0,0,0.094736842,0.021052632,0.031578947,0.010526316,0.578947368,0,0.010526316,0.010526316,0.021052632,0.063157895,0.147368421,0.010526316
subjects_082,0,0,0.107843137,0.019607843,0.019607843,0.009803922,0.617647059,0,0.009803922,0.009803922,0,0.058823529,0.137254902,0.009803922
subjects_083,0,0,0.019230769,0.019230769,0.057692308,0.009615385,0.730769231,0,0.009615385,0.048076923,0,0.038461538,0.057692308,0.009615385
subjects_085,0,0,0.208791209,0.021978022,0.032967033,0.010989011,0.571428571,0,0.010989011,0.076923077,0,0.043956044,0.010989011,0.010989011
subjects_088,0,0,0,0.333333333,0,0.166666667,0,0,0.166666667,0.166666667,0,0,0,0.166666667
subjects_100,0,0,0.011111111,0.022222222,0.066666667,0.011111111,0.644444444,0,0.011111111,0.011111111,0,0.044444444,0.166666667,0.011111111
subjects_105,0,0,0,0.095238095,0.142857143,0.047619048,0.428571429,0,0.047619048,0.047619048,0,0.142857143,0,0.047619048
subjects_109,0,0,0.055555556,0.022222222,0.144444444,0.011111111,0.666666667,0.011111111,0.011111111,0.011111111,0.011111111,0,0.044444444,0.011111111
subjects_113,0,0,0.033333333,0.033333333,0.066666667,0.016666667,0.416666667,0.083333333,0.016666667,0.116666667,0.033333333,0.083333333,0.083333333,0.016666667
subjects_118,0,0,0.115384615,0.038461538,0,0.019230769,0.634615385,0,0.019230769,0.019230769,0.019230769,0.019230769,0.096153846,0.019230769
subjects_119,0,0,0.072727273,0.036363636,0.090909091,0.018181818,0.327272727,0.018181818,0.018181818,0.163636364,0,0.236363636,0,0.018181818
subjects_121,0,0,0.032786885,0.032786885,0.098360656,0.016393443,0.573770492,0.032786885,0.016393443,0.049180328,0.016393443,0.098360656,0.016393443,0.016393443
subjects_126,0,0,0.045454545,0.03030303,0.106060606,0.015151515,0.636363636,0,0.015151515,0.015151515,0,0.015151515,0.106060606,0.015151515
subjects_132,0,0,0.016949153,0.033898305,0.016949153,0.016949153,0.677966102,0,0.016949153,0.016949153,0.033898305,0,0.152542373,0.016949153
subjects_133,0,0,0.127659574,0.042553191,0.021276596,0.021276596,0.574468085,0,0.021276596,0.021276596,0,0.14893617,0,0.021276596
subjects_148,0,0,0.108695652,0.043478261,0,0.02173913,0.586956522,0,0.02173913,0.02173913,0,0.02173913,0.152173913,0.02173913
subjects_149,0,0,0.112244898,0.020408163,0.030612245,0.010204082,0.581632653,0,0.010204082,0.010204082,0.010204082,0.091836735,0.112244898,0.010204082
subjects_152,0,0,0.080808081,0.02020202,0,0.01010101,0.717171717,0,0.01010101,0.01010101,0,0.01010101,0.131313131,0.01010101
