start date2,Column1
0:00:00,34
0:00:00,31
0:00:00,30
,
,
,
,
,
0:01:38,30
0:01:41,32
0:01:41,34
0:01:41,30
0:01:43,27
0:01:43,32
0:01:44,33
0:01:44,27
0:01:45,34
0:01:49,9
0:01:50,18
0:01:50,33
0:01:56,9
0:01:56,18
0:01:57,20
0:01:57,9
0:01:58,20
0:01:58,10
0:01:59,9
0:01:59,9
0:01:59,9
0:01:59,10
0:02:09,9
0:02:09,10
0:02:11,18
0:02:11,9
0:02:14,10
0:02:14,18
0:02:16,10
0:02:16,20
0:02:16,9
0:02:16,10
0:02:16,20
0:02:17,10
0:02:21,18
0:02:21,9
0:02:22,20
0:02:22,18
0:02:23,10
0:02:24,9
0:02:24,9
0:02:25,10
0:02:30,19
0:02:30,20
0:02:35,9
0:02:35,19
0:02:35,19
0:02:35,10
0:02:37,20
0:02:37,19
0:02:37,5
0:02:37,9
0:02:38,20
0:02:38,17
0:02:40,10
0:02:40,17
0:02:41,20
0:02:41,5
0:02:44,10
0:02:44,16
0:02:45,16
0:02:45,6
0:02:45,20
0:02:45,17
0:02:49,17
0:02:50,5
0:02:50,6
0:02:52,19
0:02:53,20
0:02:55,9
0:02:55,19
0:02:55,19
0:02:55,5
0:02:59,9
0:02:59,20
0:03:03,10
0:03:03,20
0:03:06,5
0:03:06,10
0:03:06,18
0:03:06,19
0:03:10,5
0:03:15,18
0:03:16,10
0:03:19,17
0:03:19,10
0:03:20,20
0:03:24,17
0:03:25,10
0:03:25,20
0:03:26,18
0:03:28,18
0:03:28,20
0:03:28,10
0:03:28,9
0:03:28,9
0:03:28,10
0:03:33,18
0:03:33,20
0:03:34,20
0:03:34,18
0:03:35,10
0:03:35,16
0:03:37,16
0:03:37,20
0:03:38,9
0:03:38,20
0:03:39,10
0:03:39,9
0:03:47,20
0:03:47,7
0:03:49,7
0:03:49,10
0:03:51,10
0:03:52,9
0:03:52,9
0:03:53,10
0:04:03,10
0:04:03,9
0:04:04,18
0:04:04,9
0:04:05,18
0:04:06,10
0:04:06,10
0:04:07,20
0:04:11,18
0:04:11,20
0:04:14,18
0:04:14,20
0:04:16,18
0:04:16,20
0:04:19,10
0:04:19,20
0:04:19,20
0:04:20,20
0:04:20,18
0:04:20,18
0:04:23,18
0:04:23,20
0:04:24,20
0:04:24,9
0:04:25,9
0:04:26,18
0:04:26,18
0:04:27,20
0:04:27,10
0:04:27,20
0:04:28,10
0:04:29,9
0:04:29,9
0:04:29,18
0:04:30,18
0:04:31,10
0:04:31,20
0:04:31,20
0:04:31,20
0:04:32,18
0:04:32,10
0:04:32,20
0:04:34,18
0:04:34,5
0:04:34,20
0:04:35,10
0:04:35,10
0:04:36,9
0:04:36,5
0:04:36,5
0:04:39,5
0:04:39,18
0:04:39,18
0:04:39,20
0:04:42,18
0:04:42,9
0:04:44,20
0:04:44,18
0:04:53,10
0:04:53,20
0:05:01,18
0:05:01,10
0:05:03,20
0:05:04,20
0:05:04,20
0:05:04,9
0:05:08,9
0:05:08,12
0:05:09,12
0:05:09,20
0:05:09,18
0:05:09,18
0:05:11,20
0:05:11,8
0:05:12,8
0:05:12,11
0:05:15,18
0:05:15,10
0:05:17,11
0:05:18,20
0:05:18,20
0:05:18,20
0:05:19,20
0:05:21,9
0:05:21,10
0:05:21,9
0:05:22,9
0:05:22,15
0:05:24,15
0:05:24,9
0:05:25,20
0:05:25,18
0:05:26,34
0:05:26,18
0:05:27,31
0:05:27,20
0:05:32,31
0:05:32,31
0:05:36,34
0:05:36,32
0:05:36,32
0:05:37,34
0:05:40,34
0:05:41,31
0:05:43,33
0:05:47,20
0:05:47,33
