,child neutral affect,cleanup not requested,no child independent clean up,v direct concrete inst,p touching toys for cleanup,v small mission steps,no compliance - Passive,p signal const,yes compliance,v positive feedback,p positive feedback,v signal const,v perspective/mirroring,p mother cleanup,v concern,p concern exp,child positive affect,v choice,p gentle touch for clean up,v rational,p affection expression,v motivation arousal,v unclear,v inadequate perspective/invalidation,v action oriented feedback,v affection,v hostility,no compliance - Defiance,p modeling,v modeling,p forceful touch for cleanup,child negative affect,no compliance - Refusal,child alert,no inadequate boundaries setting,indecisive expectations setting,legitimazinig expectation violation,v glorificaion feedback,v negative cr,yes child independent clean up,v threat punishment,p motivational arrousal,child tired,v material reward,v negative feedback,unclear compiance
p concern exp,0.165072601,0.133346476,-0.063103478,0.065507884,0.314505489,0.044154572,0.03752406,-0.006966558,0.148230172,0.070068902,0.01523369,-0.005944217,0.097784539,0.145230812,0.473788555,1,-0.013616079,0.04234283,0.03656771,-0.02148311,-0.092959566,0.045047521,0.114253071,0.00953187,-0.0364639,-0.110438575,0.075514095,0.165342606,0.060599277,0.107051359,0.178548716,0.160349661,0.028823379,-0.085603856,0.067865441,0.084184592,0.122817639,0.071147252,0.026100669,-0.063103478,-0.043388309,0.190023848,0.068450864,-0.088055949,0.071219892,-0.043388309
child positive affect,0.422865914,0.116683633,-0.171762302,0.343100487,-0.038029119,0.030206454,0.29777153,0.10899128,0.036158329,-0.07926506,-0.00446364,0.169740192,0.165940861,0.155961054,-0.056578968,-0.013616079,1,0.120595513,-0.02020634,0.015928333,-0.012122798,0.098686176,-0.052822671,0.160061032,-0.116025257,0.014983802,0.169317508,0.102492662,-0.054913495,-0.010628412,0.235972699,0.07435595,0.248951667,-0.240921314,-0.016157322,0.131857629,0.084753733,0.031068277,0.228708299,-0.171762302,0.283060112,-0.042435944,-0.065013775,0.091225001,-0.065007587,0.294496885
v choice,0.021563513,0.179081703,0.141447116,0.101589869,0.126721407,0.044901899,0.067918127,0.195682308,0.222445335,0.137491791,-0.001789243,0.00158053,0.156024487,-0.160667592,-0.13852485,0.04234283,0.120595513,1,-0.016054218,-0.0489904,0.125939387,-0.023309897,0.14170215,-0.000276968,-0.026824206,-0.001453335,-0.012507776,-0.081506444,0.012401554,0.027998114,-0.113535106,-0.035728292,0.067630444,-0.217213433,-0.215845188,-0.024142213,-0.142823438,-0.058278371,-0.173453166,0.141447116,-0.038776486,-0.135138028,-0.067824563,-0.078696321,0.092100963,-0.038776486
p gentle touch for clean up,0.141525169,0.028880066,-0.270752826,0.328202683,0.254955853,0.169709655,0.184211626,0.194739549,0.195928952,0.120024056,-0.110993432,0.208745142,0.091518198,0.110412564,0.105095455,0.03656771,-0.02020634,-0.016054218,1,0.128798687,0.175342093,0.084240141,-0.034976723,0.07770456,-0.054172563,0.260994271,0.053929383,0.215504563,0.114084295,0.191077009,0.013816296,0.139640098,0.212824213,-0.007260766,0.149625185,0.094675845,0.146537585,-0.084045432,0.046328693,-0.270752826,0.108631947,0.029437565,0.153393369,0.018317043,0.058849112,-0.010184245
v rational,0.021860535,0.183624703,-0.077202778,0.14003217,-0.019179678,-0.099859214,0.076376575,-0.069688025,-0.046354561,-0.107398338,0.122322743,-0.092918954,0.381565474,0.114623267,0.023711257,-0.02148311,0.015928333,-0.0489904,0.128798687,1,0.170419216,0.015483334,-0.139892533,0.090949299,-0.03927694,0.061997926,0.044975689,0.079607523,0.040061189,0.126660282,-0.115963146,-0.004145148,0.152846112,0.095615878,0.246930233,0.143515332,0.185843972,0.13524768,0.081538314,-0.077202778,0.159961097,0.027481645,0.242895028,-0.018703432,-0.091983498,-0.098437598
p affection expression,0.167356136,0.180504571,-0.040936894,0.220273794,0.046018833,-0.060061137,0.083608415,0.033661007,-0.016114492,-0.087297702,0.100242593,0.045347774,0.236794723,0.394410841,-0.051544676,-0.092959566,-0.012122798,0.125939387,0.175342093,0.170419216,1,0.005920313,0.01067368,0.091734394,-0.04625086,0.221315338,-0.034929432,0.119665488,0.182179535,0.217168551,-0.0448804,0.234232567,0.212045157,-0.043024813,0.069556007,0.068149735,0.127814879,0.031992736,0.027729489,-0.040936894,-0.078862391,-0.058550961,0.063495938,0.057902736,-0.13792632,-0.078862391
v motivation arousal,0.099949837,0.027821587,-0.052686774,0.117418722,0.177199638,0.194227005,0.174587291,0.174606585,0.300806156,0.338806421,0.18098022,0.018023095,0.217732499,0.090155352,0.036240954,0.045047521,0.098686176,-0.023309897,0.084240141,0.015483334,0.005920313,1,0.079225175,0.064156244,0.126742402,0.143963364,0.091309494,-0.069894224,-0.076372326,-0.105210896,0.062807556,0.055185048,0.24497736,-0.160043418,-0.08704754,-0.038911547,0.047122837,0.093361903,-0.019988253,-0.052686774,0.101541091,0.510397894,0.042950742,0.082756839,-0.114911317,0.197109177
v unclear,-0.12059191,-0.005887016,-0.063758387,0.083261672,0.04210026,-0.029188878,-0.101381367,0.073570139,0.050537723,0.17671287,-0.074027642,0.135677638,-0.057892245,0.035236161,0.084540744,0.114253071,-0.052822671,0.14170215,-0.034976723,-0.139892533,0.01067368,0.079225175,1,0.099818442,0.224914448,0.015390086,0.104617023,0.03715189,-0.006149392,0.010064187,-0.040397828,-0.108725126,-0.134730315,-0.172607953,0.011786018,0.155798753,0.120199066,-0.052840642,-0.06171775,-0.063758387,-0.01379737,-0.048084536,-0.024133197,-0.028001563,-0.024130899,-0.01379737
v inadequate perspective/invalidation,0.384375668,0.157291858,-0.136167113,0.166561908,0.077787427,-0.027243242,0.116057543,0.07383565,0.057260389,-0.004876362,-0.155224455,0.219925299,-0.106184076,0.177574311,0.091833202,0.00953187,0.160061032,-0.000276968,0.07770456,0.090949299,0.091734394,0.064156244,0.099818442,1,0.085689116,0.136024216,0.290414717,0.243064248,0.110775151,0.122000581,0.169180168,0.363455894,0.212451219,-0.040725503,0.068216646,0.053932511,0.123380485,-0.086990362,0.22958303,-0.136167113,0.149257511,-0.129052879,-0.095981127,0.252608449,0.025321841,0.215106414
v action oriented feedback,-0.189339863,-0.193620297,0.191914355,-0.065573853,0.001218489,0.017776431,-0.128980945,0.052758594,-0.097767674,0.287207783,-0.016223953,-0.02394098,-0.094300243,-0.021465925,-0.102180914,-0.0364639,-0.116025257,-0.026824206,-0.054172563,-0.03927694,-0.04625086,0.126742402,0.224914448,0.085689116,1,-0.1787566,-0.076820454,-0.20053466,-0.043569279,-0.045534655,-0.088734029,-0.162645299,-0.096467202,-0.113139595,-0.225702952,-0.135293405,-0.171440156,0.098876315,0.045051467,0.191914355,-0.03030599,-0.10561792,-0.053008685,0.111084582,-0.05300364,-0.03030599
v affection,0.066424957,0.218872882,-0.166898367,0.390347798,0.072790786,0.100598766,0.174633373,0.16989887,0.073820485,0.076823874,-0.02830079,0.184756344,0.174958583,0.078213268,-0.027662171,-0.110438575,0.014983802,-0.001453335,0.260994271,0.061997926,0.221315338,0.143963364,0.015390086,0.136024216,-0.1787566,1,0.218173766,0.246075948,0.095227273,0.206241291,-0.007592806,0.084632649,0.104176043,0.026601126,0.200439633,0.151245725,0.25825402,-0.048883824,0.03097804,-0.166898367,0.004998221,0.014734124,-0.045655103,0.015703409,0.02092949,-0.048316133
v hostility,0.159305908,0.07449439,-0.019031096,0.157687771,0.102094817,-0.014146958,0.056930149,-0.004346207,0.101928983,-0.10584984,-0.141224451,0.135452561,-0.119256371,0.046996702,0.203873553,0.075514095,0.169317508,-0.012507776,0.053929383,0.044975689,-0.034929432,0.091309494,0.104617023,0.290414717,-0.076820454,0.218173766,1,0.182751249,0.001292511,0.08340112,0.287694604,0.102224017,0.028043687,0.046874486,0.21259766,0.210276336,0.198692571,-0.082501175,0.268343615,-0.019031096,0.160615476,-0.048929468,-0.09364502,0.139073509,0.18044458,0.225307821
no compliance - Defiance,0.241196764,0.419275472,-0.13158092,0.271645279,0.18154832,0.013270581,0.210772977,0.016394451,0.137685754,-0.160364704,-0.129076869,0.132504664,0.050921077,0.199534224,0.101221012,0.165342606,0.102492662,-0.081506444,0.215504563,0.079607523,0.119665488,-0.069894224,0.03715189,0.243064248,-0.20053466,0.246075948,0.182751249,1,0.228109931,0.29884752,0.144540223,0.238616241,0.136144523,0.287926409,0.526000451,0.439894226,0.390481708,0.091481696,0.274904226,-0.13158092,0.08939054,0.119213165,-0.070801993,0.078456519,0.236125997,-0.018552754
p modeling,0.090715173,0.270102253,-0.029023876,0.171764972,0.185700181,0.119424104,0.358579567,0.129062257,0.187668772,0.044051259,0.024730591,0.149830341,0.133494412,0.114596057,-0.176168019,0.060599277,-0.054913495,0.012401554,0.114084295,0.040061189,0.182179535,-0.076372326,-0.006149392,0.110775151,-0.043569279,0.095227273,0.001292511,0.228109931,1,0.815759986,0.132341722,0.144472995,0.087442271,0.040716645,-0.005891995,0.114116387,-0.111128087,0.017513186,-0.101591976,-0.029023876,0.143660282,0.056018282,-0.064585629,-0.02373625,0.10534916,0.017308468
v modeling,0.135484362,0.346655851,-0.079576088,0.30066555,0.256814042,0.117950599,0.356400271,0.140611834,0.093587586,-0.012025066,0.016762429,0.190369765,0.22601372,0.01099929,-0.158811211,0.107051359,-0.010628412,0.027998114,0.191077009,0.126660282,0.217168551,-0.105210896,0.010064187,0.122000581,-0.045534655,0.206241291,0.08340112,0.29884752,0.815759986,1,0.10504016,0.153799487,0.126236543,0.057937949,0.112822905,0.215676766,0.027080159,0.031730586,-0.008551112,-0.079576088,0.157570595,0.050132304,-0.08774076,-0.087202143,0.05989424,-0.092063718
p forceful touch for cleanup,0.167832399,0.138468368,0.06357522,0.145616512,0.099752995,0.102534492,0.281387988,0.059998741,0.21989788,-0.036398689,-0.075286809,0.113172137,0.005599782,0.038863658,0.020549434,0.178548716,0.235972699,-0.113535106,0.013816296,-0.115963146,-0.0448804,0.062807556,-0.040397828,0.169180168,-0.088734029,-0.007592806,0.287694604,0.144540223,0.132341722,0.10504016,1,0.081532852,0.104921689,-0.008632014,0.18806048,0.148562183,0.245611545,0.09851981,0.191579696,0.06357522,0.334012225,-0.099068052,-0.049721366,0.136930209,0.184644706,0.358885476
child negative affect,0.897329933,0.245569598,-0.217405891,0.166560436,0.037526662,-0.091393119,0.059216783,-0.160959647,-0.034033869,-0.166746937,-0.075251387,0.103513161,0.051740153,0.217491316,0.059652863,0.160349661,0.07435595,-0.035728292,0.139640098,-0.004145148,0.234232567,0.055185048,-0.108725126,0.363455894,-0.162645299,0.084632649,0.102224017,0.238616241,0.144472995,0.153799487,0.081532852,1,0.280251246,-0.091514984,0.059559739,0.056290782,0.091101758,0.013769411,0.20296049,-0.217405891,-0.076506158,0.054150967,0.108795225,0.070706362,0.064434115,0.115692239
no compliance - Refusal,0.352872824,0.439240592,0.017240029,0.225001573,0.100121507,0.078648502,0.269314002,0.105845013,0.153629012,0.038634365,-0.004595633,0.010006794,0.213475734,0.227193875,-0.090341246,0.028823379,0.248951667,0.067630444,0.212824213,0.152846112,0.212045157,0.24497736,-0.134730315,0.212451219,-0.096467202,0.104176043,0.028043687,0.136144523,0.087442271,0.126236543,0.104921689,0.280251246,1,-0.007293712,0.1806452,0.173842575,0.238138435,0.083897346,0.177232131,0.017240029,0.180831992,0.23990632,0.101337581,0.15821389,0.0552501,0.150985935
