,x,y
0,15,1.0
1,16,0.31661963074512145
2,46,0.42396139445795256
3,44,0.4454832225846721
4,27,-0.01767457019272065
5,24,-0.19817407472477566
6,28,-0.2850589763776139
7,19,-0.34963787576371114
8,25,-0.1940326874379269
9,20,-0.4551624235230559
10,39,-0.16983017130425646
11,38,0.01962581600416952
12,29,0.09026515954636573
13,9,-0.14443484306837032
14,30,0.10106056153350174
15,23,0.08853399924063057
16,22,0.05465417612199425
17,1,0.0662235505173159
18,10,-0.16379951061827672
19,26,-0.017703410278164456
20,11,-0.04265324413565914
21,3,-0.03053361369095082
22,12,-0.05208147014236617
23,0,-0.008603598284333273
24,32,0.08535879988801062
25,13,0.1136768629639751
26,4,-0.02304468965075824
27,40,-0.0035356501968263915
28,18,-0.267547961577073
29,7,-0.21393558320700368
30,14,-0.21132787087863392
31,31,-0.18810537327819574
32,2,0.3659429376337584
33,17,-0.2284291397857373
34,5,0.3094654876164388
35,41,0.07606417506178217
36,42,-0.2142251931100152
37,43,-0.16265111070231894
38,33,-0.07490785261110251
39,34,0.04186119081490877
40,45,-0.31693909514617885
41,35,-0.12642290495198502
42,8,-0.06461754516045325
43,6,0.1240973827843242
44,36,-0.008882137481602492
45,37,-0.12078419249936745
46,21,0.027911550443944742
47,15,0.31661963074512145
48,16,1.0
49,46,0.526914212482781
50,44,0.6031822638720747
51,27,-0.1824320244128121
52,24,-0.10334713990973987
53,28,-0.239883671866307
54,19,-0.3895639461383977
55,25,-0.20173354334556745
56,20,-0.3951219198483501
57,39,-0.2173141041274356
58,38,0.06805851332473642
59,29,-0.14991191093773826
60,9,-0.04769253578826622
61,30,0.057495192302492185
62,23,0.05151204436752066
63,22,-0.025690154989574804
64,1,-0.19889812163058992
65,10,-0.08956791635002995
66,26,-0.2319980634177197
67,11,0.06754296205329817
68,3,-0.08143322694469755
69,12,-0.2003633809991449
70,0,0.07996928082413296
71,32,-0.2693296231388661
72,13,0.10619741803315584
73,4,0.08381105171899965
74,40,-0.09731491852391573
75,18,-0.17537931292291878
76,7,-0.10472866102539913
77,14,-0.08044030280476441
78,31,-0.18553665327419602
79,2,-0.28696272823033125
80,17,-0.31575634953284043
81,5,0.4267694001538519
82,41,0.33573668034160004
83,42,-0.0691541308742114
84,43,0.019511199217450075
85,33,-0.0774471201262808
86,34,-0.0637284081869456
87,45,0.08889262811793912
88,35,-0.09360103151497938
89,8,-0.09987701903507372
90,6,0.09600612164790699
91,36,-0.14240970466874722
92,37,0.006737917645855026
93,21,-0.15271747247180847
94,15,0.42396139445795256
95,16,0.526914212482781
96,46,1.0
97,44,0.5433709759089471
98,27,-0.14777167224103605
99,24,-0.14926965975279327
100,28,-0.22131042759619
101,19,-0.4126445928719962
102,25,-0.3571192247553893
103,20,-0.4442668445851817
104,39,-0.4231878756502248
105,38,-0.15306564631096492
106,29,-0.20661256285089
107,9,-0.15050247583984006
108,30,0.30420894795704345
109,23,-0.05492092502959724
110,22,-0.13701645716937286
111,1,-0.12793536255101032
112,10,-0.07350860976856953
113,26,-0.1462741872616506
114,11,0.08206945316731296
115,3,-0.05444977036176274
116,12,-0.27824547780247005
117,0,-0.16022270623496765
118,32,-0.14392752204181994
119,13,-0.010656357125157927
120,4,-0.1028491872360936
121,40,-0.08932571144190576
122,18,-0.10339845988855713
123,7,-0.038545278733870834
124,14,-0.16883633105402007
125,31,-0.14248241376125467
126,2,-0.005541940692356165
127,17,-0.1522171275954982
128,5,0.4936544913628246
129,41,0.5963972405885409
130,42,-0.15000150464500878
131,43,-0.08232948857766634
132,33,-0.0938849209195375
133,34,-0.049616583428951685
134,45,0.15466794986862067
135,35,-0.14279800952272992
136,8,-0.13217429440836587
137,6,0.0066979687781508175
138,36,-0.06393353623730888
139,37,-0.0048026644260916575
140,21,0.022978990038140447
141,15,0.4454832225846721
142,16,0.6031822638720747
143,46,0.5433709759089471
144,44,1.0
145,27,-0.34210848330410115
146,24,-0.02593877114711856
147,28,0.05403004715333108
148,19,-0.28611584120271816
