,child neutral affect,cleanup not requested,no child independent clean up,v direct concrete inst,p touching toys for cleanup,v small mission steps,no compliance - Passive,p signal const,yes compliance,v positive feedback,p positive feedback,v signal const,v perspective/mirroring,p mother cleanup,v concern,p concern exp,child positive affect,v choice,p gentle touch for clean up,v rational,p affection expression,v motivation arousal,v unclear,v inadequate perspective/invalidation,v action oriented feedback,v affection,v hostility,no compliance - Defiance,p modeling,v modeling,p forceful touch for cleanup,child negative affect,no compliance - Refusal,child alert,no inadequate boundaries setting,indecisive expectations setting,legitimazinig expectation violation,v glorificaion feedback,v negative cr,yes child independent clean up,v threat punishment,p motivational arrousal,child tired,v material reward,v negative feedback,unclear compiance
child neutral affect,0,0.006,0.0082,0.0065,0.8164,0.5097,0.0968,0.4523,0.9745,0.1152,0.6797,0.151,0.2578,0.0203,0.5679,0.094,0,0.828,0.1518,0.8257,0.0895,0.3127,0.2227,0.0001,0.0542,0.5029,0.1062,0.0136,0.3598,0.1703,0.0886,0,0.0002,0.0845,0.4563,0.258,0.0948,0.461,0.0025,0.0082,0.2657,0.5065,0.3388,0.4248,0.623,0.0785
cleanup not requested,0.006,0,0.0257,0.032,0.0686,0.8701,0.0024,0.751,0.0012,0.4156,0.969,0.2943,0.0029,0.0641,0.8216,0.1772,0.2382,0.0689,0.771,0.0621,0.0667,0.7792,0.9527,0.1108,0.0489,0.0256,0.4523,0,0.0056,0.0003,0.161,0.012,0,0.1051,0,0.0016,0.0001,0.7701,0.1001,0.0257,0.149,0.4708,0.8153,0.9123,0.2419,0.6763
no child independent clean up,0.0082,0.0257,0,0.0049,0.3091,0.6525,0.0839,0.8926,0.1138,0.6603,0.953,0.0018,0.9773,0.073,0.1116,0.5245,0.0813,0.1521,0.0054,0.436,0.6799,0.5953,0.5202,0.1681,0.051,0.0904,0.8479,0.183,0.7699,0.422,0.5214,0.0266,0.8621,0.0956,0.3744,0.0415,0.3264,0.6504,0.9587,0,0.6511,0.5719,0.4285,0.358,0.3776,0.6511
v direct concrete inst,0.0065,0.032,0.0049,0,0.0027,0.0413,0.0001,0.0032,0.0047,0.0679,0.8842,0.0001,0.0026,0.1722,0.3113,0.5088,0.0004,0.3048,0.0007,0.1563,0.0246,0.2352,0.4007,0.091,0.5084,0,0.1099,0.0053,0.0813,0.0019,0.1402,0.091,0.0217,0.4469,0.0146,0.002,0.0057,0.9585,0.4927,0.0049,0.1815,0.3615,0.1921,0.0595,0.7307,0.4145
p touching toys for cleanup,0.8164,0.0686,0.3091,0.0027,0,0,0,0,0,0,0.4305,0.0831,0.0029,0.9283,0.2003,0.0011,0.7015,0.1999,0.009,0.8468,0.6427,0.0719,0.6713,0.4325,0.9902,0.4627,0.3024,0.0651,0.0591,0.0085,0.3137,0.7053,0.3119,0.7926,0.7471,0.7551,0.9862,0.1323,0.4431,0.3091,0.5502,0.0919,0.4216,0.4051,0.842,0.3696
v small mission steps,0.5097,0.8701,0.6525,0.0413,0,0,0,0,0,0,0.108,0.0223,0,0.2736,0.4794,0.6563,0.7608,0.6508,0.085,0.3132,0.5447,0.0482,0.7687,0.7837,0.8579,0.3096,0.8867,0.8936,0.2272,0.2331,0.3003,0.3562,0.4274,0.4113,0.5397,0.2513,0.1815,0.4392,0.9442,0.6525,0.7783,0.2519,0.5237,0.93,0.8108,0.5732
no compliance - Passive,0.0968,0.0024,0.0839,0.0001,0,0,0,0,0,0.003,0.9893,0.0142,0,0.1575,0.4867,0.7053,0.0021,0.4933,0.0612,0.4409,0.3988,0.0763,0.3058,0.2407,0.1919,0.0762,0.566,0.0317,0.0002,0.0002,0.0038,0.5504,0.0057,0.5886,0.1442,0.0068,0.3764,0.347,0.1468,0.0839,0.1633,0.9291,0.1705,0.3449,0.8928,0.5695
p signal const,0.4523,0.751,0.8926,0.0032,0,0,0,0,0,0,0.0063,0.0242,0.0112,0.3121,0.1602,0.944,0.2707,0.0465,0.0476,0.4821,0.7344,0.0763,0.458,0.4563,0.5948,0.0847,0.9651,0.8688,0.1916,0.1545,0.5452,0.1026,0.2849,0.473,0.6419,0.9218,0.8611,0.1755,0.8314,0.8926,0.1384,0.6687,0.9308,0.976,0.7484,0.1476
yes compliance,0.9745,0.0012,0.1138,0.0047,0,0,0,0,0,0,0.3444,0.1497,0.0044,0.8321,0.1765,0.1332,0.7156,0.0232,0.0462,0.6403,0.871,0.0019,0.6104,0.5637,0.3235,0.4564,0.3032,0.1634,0.0564,0.3447,0.0249,0.7316,0.1195,0.1305,0.3703,0.4812,0.8414,0.791,0.2708,0.1138,0.7263,0.1132,0.9226,0.8028,0.2807,0.1497
v positive feedback,0.1152,0.4156,0.6603,0.0679,0,0,0.003,0,0,0,0.0128,0.0427,0.0018,0.0973,0.5372,0.4797,0.4238,0.164,0.2249,0.2779,0.3782,0.0004,0.0727,0.9608,0.0031,0.4383,0.2849,0.1039,0.657,0.9036,0.7137,0.0907,0.697,0.3828,0.027,0.031,0.0557,0.1565,0.119,0.6603,0.9075,0.1975,0.8694,0.7594,0.3497,0.5723
